 SPIRAL: LC3f1921 - inner=1123, iron=8423, outer=1921 - rep 3                 DATE: 09/12/2006     TIME: 15:19:24.0

 INPUT SUMMARY:
 1        0    1    2
  37181  1 91  3  1
        .00      1.00       .00      2.00      1.00  .01  .01
   1123.0  5615.0  1921.0 11526.0  8423.0      .0      .0      .0      .0


 SUMMARY OF TOTAL MAGNETIC INDUCTION   (R IN CYCLOTRON UNITS, B IN GAUSS)

     R       .0 DEG    2.0 DEG    4.0 DEG    6.0 DEG    8.0 DEG   10.0 DEG   12.0 DEG   14.0 DEG   16.0 DEG   18.0 DEG
    7.00     -1.114     -1.149     -1.183     -1.217     -1.250     -1.283     -1.315     -1.346     -1.376     -1.404
    8.00     -1.171     -1.216     -1.260     -1.305     -1.350     -1.394     -1.437     -1.480     -1.521     -1.560
    9.00     -1.213     -1.269     -1.325     -1.383     -1.440     -1.498     -1.555     -1.612     -1.667     -1.720
   10.00     -1.236     -1.304     -1.374     -1.446     -1.519     -1.593     -1.666     -1.740     -1.812     -1.883
   11.00     -1.236     -1.318     -1.403     -1.491     -1.582     -1.674     -1.767     -1.861     -1.954     -2.046
   12.00     -1.210     -1.307     -1.408     -1.515     -1.625     -1.739     -1.855     -1.973     -2.091     -2.208
   13.00     -1.154     -1.266     -1.385     -1.511     -1.643     -1.782     -1.924     -2.070     -2.218     -2.366
   14.00     -1.062     -1.189     -1.326     -1.474     -1.631     -1.797     -1.971     -2.150     -2.334     -2.519
   15.00      -.930     -1.071     -1.227     -1.398     -1.582     -1.779     -1.988     -2.207     -2.433     -2.662
   16.00      -.752      -.906     -1.080     -1.273     -1.487     -1.719     -1.969     -2.233     -2.510     -2.794
   17.00      -.521      -.685      -.875     -1.092     -1.336     -1.606     -1.902     -2.221     -2.559     -2.909
   18.00      -.230      -.401      -.603      -.841     -1.116     -1.429     -1.777     -2.160     -2.571     -3.004
   19.00       .125      -.044      -.253      -.509      -.813     -1.170     -1.577     -2.034     -2.535     -3.071
   20.00       .553       .395       .187      -.078      -.408      -.808     -1.281     -1.825     -2.436     -3.102
   21.00      1.057       .925       .732       .468       .122      -.318      -.859     -1.504     -2.249     -3.082
   22.00      1.643      1.553      1.395      1.152       .804       .334      -.275     -1.032     -1.941     -2.987
   23.00      2.311      2.287      2.189      1.992      1.670      1.190       .524      -.354     -1.458     -2.779
   24.00      3.059      3.128      3.123      3.011      2.753      2.300      1.603       .609      -.719     -2.394
   25.00      3.879      4.073      4.202      4.224      4.088      3.723      3.047      1.967       .398     -1.718
   26.00      4.756      5.111      5.421      5.640      5.704      5.518      4.958      3.869      2.081      -.559
   27.00      5.671      6.221      6.763      7.253      7.616      7.739      7.449      6.508      4.606      1.409
   28.00      6.596      7.371      8.196      9.033      9.815     10.416     10.626     10.108      8.361      4.725
   29.00      7.497      8.521      9.669     10.928     12.252     13.533     14.552     14.895     13.838     10.231
   30.00      8.339      9.619     11.116     12.852     14.828     16.996     19.190     21.005     21.559     19.115
   31.00      9.084     10.613     12.461     14.697     17.396     20.616     24.343     28.349     31.846     32.725
   32.00      9.701     11.453     13.624     16.339     19.763     24.107     29.608     36.447     44.416     51.862
   33.00     10.164     12.096     14.535     17.659     21.728     27.121     34.396     44.345     57.930     75.476
   34.00     10.458     12.515     15.142     18.563     23.113     29.322     38.050     50.744     69.870     99.313
   35.00     10.580     12.698     15.422     18.999     23.809     30.471     40.039     54.409     77.221    115.890
   36.00     10.536     12.653     15.380     18.963     23.790     30.490     40.140     54.696     77.991    118.250

     R    180.0 DEG  182.0 DEG  184.0 DEG  186.0 DEG  188.0 DEG  190.0 DEG  192.0 DEG  194.0 DEG  196.0 DEG  198.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.597      -.597      -.597      -.597      -.597      -.596      -.595      -.595      -.594      -.592
    2.00      -.714      -.715      -.716      -.716      -.716      -.715      -.714      -.713      -.711      -.709
    3.00      -.840      -.843      -.845      -.846      -.847      -.847      -.847      -.845      -.843      -.840
    4.00      -.975      -.980      -.985      -.989      -.991      -.993      -.993      -.993      -.991      -.988
    5.00     -1.118     -1.128     -1.137     -1.144     -1.150     -1.154     -1.156     -1.157     -1.156     -1.153
    6.00     -1.270     -1.286     -1.300     -1.312     -1.323     -1.331     -1.336     -1.340     -1.341     -1.339
    7.00     -1.430     -1.454     -1.476     -1.495     -1.511     -1.525     -1.536     -1.543     -1.547     -1.547
    8.00     -1.597     -1.632     -1.663     -1.692     -1.717     -1.738     -1.756     -1.768     -1.777     -1.780
    9.00     -1.771     -1.819     -1.863     -1.904     -1.941     -1.972     -1.998     -2.019     -2.033     -2.041
   10.00     -1.951     -2.015     -2.076     -2.132     -2.183     -2.228     -2.265     -2.296     -2.318     -2.332
   11.00     -2.135     -2.220     -2.302     -2.377     -2.446     -2.507     -2.560     -2.603     -2.636     -2.658
   12.00     -2.323     -2.434     -2.540     -2.639     -2.731     -2.812     -2.884     -2.943     -2.989     -3.022
   13.00     -2.512     -2.655     -2.792     -2.920     -3.040     -3.147     -3.241     -3.320     -3.382     -3.427
   14.00     -2.703     -2.884     -3.058     -3.223     -3.376     -3.514     -3.636     -3.738     -3.819     -3.878
   15.00     -2.893     -3.120     -3.341     -3.550     -3.745     -3.921     -4.075     -4.204     -4.307     -4.381
   16.00     -3.081     -3.366     -3.644     -3.908     -4.153     -4.374     -4.566     -4.727     -4.852     -4.942
   17.00     -3.267     -3.624     -3.973     -4.305     -4.611     -4.886     -5.123     -5.317     -5.465     -5.567
   18.00     -3.450     -3.898     -4.337     -4.754     -5.137     -5.476     -5.763     -5.992     -6.160     -6.266
   19.00     -3.630     -4.196     -4.751     -5.277     -5.757     -6.174     -6.517     -6.779     -6.956     -7.051
   20.00     -3.806     -4.527     -5.236     -5.907     -6.510     -7.023     -7.427     -7.714     -7.882     -7.938
   21.00     -3.978     -4.907     -5.827     -6.694     -7.462     -8.094     -8.564     -8.859     -8.982     -8.949
   22.00     -4.142     -5.359     -6.575     -7.718     -8.714     -9.500    -10.037    -10.306    -10.322    -10.116
   23.00     -4.286     -5.911     -7.557     -9.104    -10.428    -11.424    -12.023    -12.205    -12.001    -11.479
   24.00     -4.384     -6.600     -8.890    -11.054    -12.877    -14.171    -14.817    -14.795    -14.174    -13.094
   25.00     -4.373     -7.460    -10.748    -13.898    -16.521    -18.267    -18.927    -18.479    -17.086    -15.028
   26.00     -4.122     -8.510    -13.391    -18.186    -22.168    -24.662    -25.258    -23.951    -21.116    -17.340
   27.00     -3.351     -9.694    -17.187    -24.851    -31.300    -35.149    -35.529    -32.467    -26.865    -20.011
   28.00     -1.502    -10.738    -22.604    -35.501    -46.739    -53.342    -53.234    -46.416    -35.207    -22.690
   29.00      2.516    -10.814    -30.049    -52.848    -74.021    -87.001    -86.173    -70.612    -46.992    -23.742
   30.00     10.682     -7.782    -39.185    -81.078   -123.893   -153.565   -153.835   -114.975    -59.852    -16.670
   31.00     26.149      3.137    -46.747   -124.184   -213.941   -289.078   -309.664   -197.287    -45.997     22.466
   32.00     52.655     29.817    -43.308   -169.126   -346.218   -520.350   -653.739   -361.012    104.483     83.779
   33.00     92.135     77.272    -57.350    -73.569  -1980.723  14394.613  16636.766  15789.676  14877.866  14777.328
   34.00    141.482    157.305   -328.013  -4174.741  -5498.911  -5670.989  -5778.694  -6444.743  -7194.642  -7243.650
   35.00    185.538    303.378    236.938  -5065.635  -6047.319  -5855.288  -5776.635  -6406.349  -7273.394  -7414.414
   36.00    195.379    368.021    934.783  -3781.797  -3418.156  -2726.566  -2276.876  -2828.218  -4218.086  -4539.563

     R    200.0 DEG  202.0 DEG  204.0 DEG  206.0 DEG  208.0 DEG  210.0 DEG  212.0 DEG  214.0 DEG  216.0 DEG  218.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.591      -.590      -.588      -.586      -.584      -.582      -.580      -.578      -.576      -.573
    2.00      -.707      -.704      -.701      -.697      -.693      -.689      -.684      -.679      -.673      -.668
    3.00      -.837      -.833      -.828      -.822      -.816      -.809      -.801      -.793      -.784      -.774
    4.00      -.984      -.978      -.972      -.964      -.955      -.945      -.934      -.921      -.908      -.894
    5.00     -1.149     -1.143     -1.134     -1.124     -1.113     -1.099     -1.084     -1.066     -1.048     -1.027
    6.00     -1.335     -1.328     -1.318     -1.306     -1.291     -1.273     -1.253     -1.230     -1.205     -1.177
    7.00     -1.544     -1.536     -1.526     -1.511     -1.492     -1.470     -1.444     -1.414     -1.381     -1.345
    8.00     -1.778     -1.772     -1.760     -1.742     -1.720     -1.692     -1.660     -1.622     -1.579     -1.532
    9.00     -2.042     -2.036     -2.024     -2.004     -1.977     -1.943     -1.902     -1.855     -1.801     -1.741
   10.00     -2.338     -2.334     -2.321     -2.299     -2.267     -2.226     -2.175     -2.116     -2.048     -1.972
   11.00     -2.669     -2.668     -2.655     -2.630     -2.592     -2.543     -2.481     -2.408     -2.323     -2.228
   12.00     -3.039     -3.042     -3.029     -3.001     -2.957     -2.897     -2.822     -2.732     -2.627     -2.510
   13.00     -3.453     -3.460     -3.448     -3.415     -3.363     -3.291     -3.200     -3.090     -2.962     -2.817
   14.00     -3.914     -3.925     -3.912     -3.874     -3.812     -3.725     -3.615     -3.482     -3.326     -3.150
   15.00     -4.426     -4.441     -4.425     -4.380     -4.304     -4.199     -4.066     -3.905     -3.718     -3.505
   16.00     -4.994     -5.009     -4.987     -4.929     -4.836     -4.708     -4.548     -4.355     -4.131     -3.877
   17.00     -5.622     -5.630     -5.594     -5.517     -5.399     -5.242     -5.049     -4.820     -4.556     -4.256
   18.00     -6.312     -6.302     -6.240     -6.130     -5.976     -5.783     -5.550     -5.281     -4.973     -4.627
   19.00     -7.069     -7.019     -6.908     -6.747     -6.541     -6.297     -6.018     -5.705     -5.354     -4.963
   20.00     -7.894     -7.767     -7.573     -7.328     -7.046     -6.735     -6.400     -6.040     -5.651     -5.223
   21.00     -8.786     -8.522     -8.189     -7.813     -7.417     -7.014     -6.612     -6.207     -5.789     -5.344
   22.00     -9.738     -9.242     -8.681     -8.101     -7.536     -7.007     -6.522     -6.077     -5.654     -5.227
   23.00    -10.731     -9.852     -8.930     -8.036     -7.221     -6.516     -5.931     -5.457     -5.065     -4.713
   24.00    -11.723    -10.224     -8.738     -7.370     -6.192     -5.242     -4.531     -4.044     -3.741     -3.555
   25.00    -12.618    -10.131     -7.781     -5.712     -4.010     -2.719     -1.848     -1.371     -1.235     -1.350
   26.00    -13.205     -9.165     -5.515     -2.426       .016      1.777      2.861      3.301      3.164      2.561
   27.00    -13.013     -6.560      -.998      3.536      7.004      9.411     10.785     11.167     10.630      9.290
   28.00    -10.947      -.831      7.471     14.005     18.870     22.157     23.934     24.251     23.165     20.769
   29.00     -4.318     11.153     23.245     32.477     39.213     43.683     46.013     46.259     44.435     40.562
   30.00     14.106     36.900     54.060     66.859     76.035     82.004     84.970     84.991     82.026     75.968
   31.00     66.059     98.204    122.062    139.462    151.521    158.876    161.851    160.559    154.936    144.759
   32.00     90.718    115.968    170.188    240.045    298.709    331.264    340.566    335.242    320.854    299.297
   33.00  14796.715  14837.158  14913.416  14997.235  15047.216  15054.258  15023.190  14868.430  13085.459    370.647
   34.00  -7144.962  -7047.076  -6964.088  -6896.220  -6844.113  -6809.808  -6796.355  -6807.321  -6845.950  -6909.941
   35.00  -7404.152  -7348.649  -7254.950  -7137.787  -7009.042  -6875.122  -6741.008  -6612.764  -6498.174  -6406.722
   36.00  -4916.341  -4781.813  -1095.875   9840.567  14468.924  14956.239  15083.306  14059.046  -2421.458  -6693.734

     R    220.0 DEG  222.0 DEG  224.0 DEG  226.0 DEG  228.0 DEG  230.0 DEG  232.0 DEG  234.0 DEG  236.0 DEG  238.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.570      -.567      -.564      -.561      -.558      -.555      -.552      -.548      -.545      -.541
    2.00      -.662      -.655      -.649      -.642      -.635      -.627      -.619      -.612      -.604      -.595
    3.00      -.764      -.753      -.742      -.730      -.718      -.705      -.692      -.678      -.664      -.650
    4.00      -.878      -.862      -.845      -.827      -.808      -.788      -.768      -.747      -.726      -.705
    5.00     -1.006      -.982      -.958      -.932      -.905      -.877      -.848      -.819      -.788      -.758
    6.00     -1.148     -1.116     -1.082     -1.047     -1.010      -.971      -.932      -.891      -.849      -.807
    7.00     -1.306     -1.263     -1.218     -1.171     -1.121     -1.070     -1.017      -.963      -.907      -.852
    8.00     -1.481     -1.426     -1.367     -1.305     -1.240     -1.172     -1.103     -1.032      -.960      -.887
    9.00     -1.675     -1.604     -1.528     -1.448     -1.364     -1.277     -1.188     -1.097     -1.004      -.912
   10.00     -1.889     -1.798     -1.702     -1.600     -1.493     -1.382     -1.269     -1.153     -1.037      -.920
   11.00     -2.124     -2.010     -1.888     -1.760     -1.625     -1.486     -1.343     -1.198     -1.052      -.907
   12.00     -2.380     -2.238     -2.086     -1.926     -1.758     -1.584     -1.406     -1.226     -1.046      -.866
   13.00     -2.657     -2.482     -2.294     -2.096     -1.888     -1.673     -1.454     -1.232     -1.009      -.789
   14.00     -2.954     -2.740     -2.510     -2.266     -2.011     -1.748     -1.478     -1.206      -.935      -.667
   15.00     -3.268     -3.009     -2.730     -2.433     -2.123     -1.801     -1.473     -1.141      -.812      -.488
   16.00     -3.594     -3.284     -2.948     -2.591     -2.215     -1.826     -1.427     -1.025      -.626      -.235
   17.00     -3.923     -3.556     -3.158     -2.732     -2.281     -1.811     -1.329      -.843      -.361       .110
   18.00     -4.241     -3.815     -3.350     -2.846     -2.310     -1.747     -1.166      -.578       .005       .571
   19.00     -4.527     -4.043     -3.508     -2.922     -2.290     -1.618      -.919      -.208       .498      1.180
   20.00     -4.748     -4.214     -3.615     -2.945     -2.207     -1.409      -.568       .295      1.153      1.980
   21.00     -4.852     -4.290     -3.642     -2.894     -2.044     -1.101      -.087       .967      2.018      3.027
   22.00     -4.759     -4.213     -3.551     -2.746     -1.785      -.674       .555      1.853      3.158      4.401
   23.00     -4.343     -3.888     -3.281     -2.466     -1.408      -.108      1.394      3.018      4.661      6.215
   24.00     -3.399     -3.164     -2.735     -2.003      -.892       .618      2.472      4.544      6.660      8.636
   25.00     -1.589     -1.786     -1.749     -1.280      -.217      1.510      3.836      6.552      9.352     11.918
   26.00      1.659       .694      -.027      -.155       .639      2.551      5.525      9.213     13.052     16.466
   27.00      7.341      5.091      2.994      1.647      1.702      3.656      7.550     12.786     18.283     22.945
   28.00     17.243     12.932      8.444      4.729      3.043      4.593      9.811     17.683     25.978     32.500
   29.00     34.730     27.221     18.704     10.525      4.947      4.811     11.907     24.614     37.942     47.187
   30.00     66.714     54.286     39.130     22.734      8.654      3.186     12.579     34.979     57.986     70.784
   31.00    129.656    109.159     82.956     51.715     19.455     -1.750      8.256     52.176     94.950    110.124
   32.00    270.566    233.714    187.095    128.764     59.144     -6.402    -10.097     86.947    170.444    175.826
   33.00  -4657.303  -3066.860  -2026.533     64.870    204.175     35.470    -57.720    177.561    331.889    275.516
   34.00  -6923.579  -6101.166   1939.717  14931.367  14924.977  12797.094  -5564.485    196.446    620.361    385.299
   35.00  -6349.535  -6339.616  -6392.577  -6527.586  -6763.562  -7071.118  -6927.300    908.629    719.591    437.510
   36.00  -6939.099  -6751.271  -6579.915  -6467.813  -6439.352  -6356.496  -4830.047   -590.427    532.177    419.853

     R    240.0 DEG  242.0 DEG  244.0 DEG  246.0 DEG  248.0 DEG  250.0 DEG  252.0 DEG  254.0 DEG  256.0 DEG  258.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.537      -.534      -.530      -.526      -.522      -.518      -.514      -.510      -.506      -.502
    2.00      -.587      -.578      -.570      -.561      -.552      -.543      -.534      -.525      -.517      -.508
    3.00      -.636      -.621      -.606      -.592      -.577      -.562      -.547      -.532      -.517      -.502
    4.00      -.683      -.661      -.638      -.616      -.594      -.571      -.549      -.527      -.505      -.483
    5.00      -.727      -.695      -.664      -.632      -.600      -.569      -.538      -.508      -.477      -.448
    6.00      -.765      -.722      -.679      -.637      -.594      -.553      -.512      -.471      -.432      -.393
    7.00      -.795      -.739      -.683      -.627      -.572      -.518      -.465      -.414      -.364      -.316
    8.00      -.815      -.742      -.670      -.599      -.529      -.461      -.395      -.331      -.270      -.211
    9.00      -.819      -.727      -.636      -.547      -.460      -.376      -.295      -.218      -.144      -.075
   10.00      -.803      -.689      -.576      -.466      -.360      -.258      -.161      -.069       .018       .099
   11.00      -.763      -.621      -.483      -.349      -.221      -.100       .015       .123       .223       .316
   12.00      -.689      -.516      -.349      -.188      -.036       .108       .242       .366       .479       .582
   13.00      -.574      -.365      -.164       .027       .207       .374       .527       .667       .793       .905
   14.00      -.407      -.155       .084       .309       .518       .710       .884      1.039      1.176      1.294
   15.00      -.174       .126       .409       .672       .913      1.130      1.323      1.492      1.636      1.757
   16.00       .141       .498       .830      1.135      1.410      1.652      1.862      2.040      2.187      2.304
   17.00       .559       .982      1.370      1.721      2.029      2.295      2.518      2.699      2.841      2.945
   18.00      1.108      1.607      2.059      2.457      2.800      3.085      3.313      3.488      3.613      3.693
   19.00      1.823      2.411      2.933      3.382      3.754      4.049      4.271      4.425      4.518      4.557
   20.00      2.750      3.443      4.042      4.540      4.933      5.225      5.422      5.534      5.573      5.550
   21.00      3.955      4.770      5.452      5.991      6.389      6.653      6.797      6.838      6.793      6.679
   22.00      5.524      6.482      7.247      7.812      8.185      8.384      8.433      8.360      8.191      7.950
   23.00      7.585      8.706      9.544     10.101     10.398     10.473     10.367     10.122      9.778      9.367
   24.00     10.320     11.619     12.499     12.982     13.119     12.980     12.633     12.142     11.558     10.922
   25.00     14.002     15.474     16.320     16.609     16.451     15.966     15.261     14.425     13.523     12.604
   26.00     19.046     20.633     21.281     21.166     20.501     19.481     18.264     16.963     15.654     14.385
   27.00     26.098     27.612     27.733     26.857     25.364     23.553     21.630     19.725     17.912     16.231
   28.00     36.175     37.127     36.092     33.873     31.094     28.161     25.307     22.651     20.242     18.090
   29.00     50.863     50.111     46.778     42.331     37.659     33.217     29.197     25.652     22.568     19.904
   30.00     72.520     67.601     60.062     52.165     44.888     38.542     33.145     28.606     24.800     21.606
   31.00    104.129     90.299     75.774     62.997     52.422     43.856     36.950     31.371     26.838     23.127
   32.00    147.800    117.595     92.927     74.034     59.717     48.802     40.382     33.800     28.588     24.408
   33.00    200.427    146.323    109.528     84.126     66.115     52.999     43.214     35.758     29.968     25.397
   34.00    248.892    170.751    122.994     92.035     70.985     56.112     45.266     37.143     30.921     26.064
   35.00    276.158    185.386    131.190     96.821     73.886     57.925     46.426     37.899     31.420     26.395
   36.00    278.113    188.451    133.318     98.129     74.659     58.370     46.671     38.022     31.469     26.398

     R    260.0 DEG  262.0 DEG  264.0 DEG  266.0 DEG  268.0 DEG  270.0 DEG  272.0 DEG  274.0 DEG  276.0 DEG  278.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.498      -.494      -.490      -.486      -.482      -.478      -.475      -.471      -.467      -.463
    2.00      -.499      -.490      -.481      -.472      -.464      -.455      -.447      -.439      -.431      -.423
    3.00      -.487      -.473      -.459      -.445      -.431      -.417      -.404      -.391      -.379      -.367
    4.00      -.462      -.441      -.420      -.400      -.381      -.362      -.344      -.326      -.309      -.293
    5.00      -.419      -.391      -.364      -.337      -.312      -.288      -.264      -.242      -.220      -.200
    6.00      -.356      -.320      -.286      -.253      -.221      -.191      -.163      -.136      -.110      -.087
    7.00      -.270      -.226      -.183      -.144      -.106      -.070      -.037      -.006       .022       .049
    8.00      -.155      -.103      -.053      -.006       .037       .077       .114       .148       .179       .207
    9.00      -.009       .052       .109       .162       .210       .254       .294       .330       .361       .389
   10.00       .174       .244       .307       .365       .417       .463       .504       .540       .570       .596
   11.00       .400       .477       .546       .607       .660       .707       .746       .779       .807       .828
   12.00       .675       .756       .828       .890       .943       .987      1.022      1.050      1.071      1.085
   13.00      1.004      1.088      1.160      1.220      1.268      1.305      1.333      1.352      1.363      1.367
   14.00      1.395      1.478      1.546      1.599      1.638      1.665      1.680      1.686      1.683      1.672
   15.00      1.855      1.932      1.990      2.031      2.055      2.065      2.064      2.051      2.029      1.999
   16.00      2.393      2.457      2.498      2.518      2.521      2.508      2.483      2.446      2.400      2.347
   17.00      3.016      3.057      3.072      3.063      3.036      2.992      2.936      2.869      2.793      2.712
   18.00      3.733      3.739      3.715      3.668      3.600      3.517      3.421      3.317      3.206      3.091
   19.00      4.551      4.506      4.430      4.330      4.211      4.078      3.935      3.786      3.633      3.479
   20.00      5.476      5.362      5.217      5.049      4.865      4.671      4.472      4.271      4.070      3.873
   21.00      6.512      6.305      6.071      5.820      5.558      5.292      5.027      4.766      4.512      4.267
   22.00      7.659      7.334      6.989      6.635      6.280      5.931      5.591      5.264      4.952      4.655
   23.00      8.914      8.440      7.960      7.485      7.023      6.580      6.158      5.759      5.384      5.032
   24.00     10.266      9.610      8.971      8.357      7.775      7.228      6.717      6.241      5.801      5.393
   25.00     11.699     10.828     10.005      9.236      8.522      7.863      7.258      6.704      6.196      5.732
   26.00     13.186     12.070     11.042     10.103      9.249      8.474      7.773      7.138      6.564      6.044
   27.00     14.695     13.306     12.058     10.940      9.940      9.048      8.250      7.537      6.898      6.325
   28.00     16.184     14.504     13.025     11.725     10.581      9.573      8.682      7.894      7.194      6.572
   29.00     17.608     15.628     13.919     12.441     11.157     10.038      9.061      8.203      7.448      6.781
   30.00     18.917     16.645     14.715     13.068     11.655     10.437      9.381      8.461      7.657      6.951
   31.00     20.067     17.523     15.392     13.594     12.067     10.761      9.638      8.666      7.821      7.082
   32.00     21.016     18.235     15.932     14.007     12.384     11.007      9.829      8.815      7.938      7.174
   33.00     21.736     18.764     16.325     14.301     12.605     11.174      9.955      8.910      8.009      7.227
   34.00     22.207     19.101     16.566     14.474     12.730     11.262     10.017      8.953      8.037      7.244
   35.00     22.427     19.245     16.658     14.530     12.761     11.276     10.018      8.945      8.024      7.227
   36.00     22.402     19.203     16.608     14.475     12.704     11.219      9.963      8.892      7.973      7.178

     R    280.0 DEG  282.0 DEG  284.0 DEG  286.0 DEG  288.0 DEG  290.0 DEG  292.0 DEG  294.0 DEG  296.0 DEG  298.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.459      -.456      -.452      -.448      -.445      -.442      -.438      -.435      -.432      -.429
    2.00      -.415      -.408      -.400      -.393      -.387      -.380      -.373      -.367      -.361      -.356
    3.00      -.355      -.344      -.333      -.322      -.312      -.303      -.294      -.285      -.277      -.269
    4.00      -.277      -.262      -.248      -.235      -.222      -.210      -.199      -.188      -.178      -.169
    5.00      -.181      -.163      -.146      -.130      -.115      -.101      -.089      -.077      -.066      -.056
    6.00      -.064      -.044      -.025      -.007       .009       .023       .036       .048       .059       .068
    7.00       .073       .095       .115       .133       .149       .163       .175       .186       .195       .202
    8.00       .232       .254       .274       .291       .305       .318       .328       .336       .342       .347
    9.00       .414       .434       .452       .466       .478       .487       .493       .497       .499       .499
   10.00       .618       .635       .649       .659       .665       .669       .670       .668       .665       .659
   11.00       .844       .856       .863       .867       .866       .863       .856       .848       .836       .823
   12.00      1.093      1.097      1.095      1.089      1.080      1.067      1.051      1.033      1.013       .992
   13.00      1.364      1.356      1.342      1.325      1.304      1.280      1.253      1.224      1.194      1.162
   14.00      1.654      1.631      1.603      1.572      1.536      1.499      1.459      1.418      1.375      1.332
   15.00      1.963      1.922      1.876      1.827      1.776      1.722      1.667      1.612      1.556      1.501
   16.00      2.288      2.225      2.158      2.089      2.019      1.947      1.876      1.805      1.735      1.666
   17.00      2.626      2.537      2.446      2.354      2.263      2.172      2.083      1.995      1.909      1.826
   18.00      2.973      2.855      2.737      2.620      2.505      2.394      2.285      2.180      2.078      1.980
   19.00      3.326      3.175      3.027      2.883      2.744      2.610      2.481      2.357      2.239      2.126
   20.00      3.680      3.493      3.313      3.141      2.975      2.818      2.668      2.526      2.391      2.263
   21.00      4.031      3.806      3.592      3.389      3.197      3.016      2.845      2.684      2.532      2.390
   22.00      4.374      4.109      3.860      3.626      3.407      3.202      3.010      2.831      2.663      2.506
   23.00      4.704      4.398      4.113      3.849      3.603      3.374      3.162      2.965      2.781      2.611
   24.00      5.017      4.670      4.349      4.054      3.782      3.531      3.299      3.085      2.887      2.704
   25.00      5.308      4.920      4.565      4.241      3.944      3.671      3.421      3.191      2.980      2.785
   26.00      5.573      5.147      4.759      4.407      4.086      3.794      3.527      3.283      3.059      2.854
   27.00      5.810      5.347      4.929      4.552      4.210      3.899      3.617      3.360      3.125      2.911
   28.00      6.016      5.520      5.074      4.674      4.313      3.986      3.691      3.423      3.179      2.956
   29.00      6.189      5.663      5.193      4.773      4.396      4.056      3.749      3.471      3.220      2.990
   30.00      6.328      5.777      5.287      4.850      4.459      4.108      3.792      3.507      3.248      3.014
   31.00      6.434      5.861      5.355      4.905      4.503      4.143      3.820      3.529      3.266      3.028
   32.00      6.505      5.917      5.398      4.938      4.528      4.162      3.834      3.539      3.273      3.032
   33.00      6.545      5.946      5.418      4.952      4.537      4.167      3.835      3.538      3.270      3.027
   34.00      6.553      5.949      5.417      4.946      4.529      4.157      3.825      3.526      3.258      3.015
   35.00      6.533      5.927      5.394      4.924      4.506      4.135      3.803      3.505      3.237      2.996
   36.00      6.488      5.884      5.354      4.885      4.471      4.101      3.771      3.476      3.210      2.970

     R    300.0 DEG  302.0 DEG  304.0 DEG  306.0 DEG  308.0 DEG  310.0 DEG  312.0 DEG  314.0 DEG  316.0 DEG  318.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.426      -.423      -.420      -.418      -.415      -.413      -.410      -.408      -.406      -.404
    2.00      -.350      -.345      -.340      -.335      -.331      -.326      -.322      -.319      -.315      -.312
    3.00      -.261      -.254      -.248      -.242      -.236      -.231      -.226      -.222      -.218      -.214
    4.00      -.160      -.152      -.145      -.138      -.132      -.127      -.122      -.118      -.114      -.111
    5.00      -.048      -.040      -.033      -.026      -.021      -.016      -.013      -.010      -.007      -.005
    6.00       .076       .083       .088       .093       .097       .100       .102       .103       .103       .103
    7.00       .209       .213       .217       .219       .220       .220       .219       .218       .215       .212
    8.00       .350       .351       .351       .350       .347       .343       .339       .334       .327       .320
    9.00       .498       .494       .490       .484       .477       .468       .459       .449       .439       .428
   10.00       .651       .642       .632       .620       .607       .594       .579       .564       .548       .532
   11.00       .809       .793       .775       .757       .738       .718       .697       .676       .655       .634
   12.00       .968       .944       .919       .893       .866       .840       .813       .785       .758       .731
   13.00      1.129      1.095      1.061      1.027       .993       .958       .924       .890       .857       .824
   14.00      1.288      1.245      1.201      1.158      1.115      1.073      1.031       .990       .951       .912
   15.00      1.445      1.391      1.337      1.284      1.232      1.182      1.133      1.085      1.039       .994
   16.00      1.598      1.532      1.467      1.405      1.344      1.285      1.228      1.174      1.121      1.070
   17.00      1.745      1.667      1.592      1.519      1.449      1.382      1.318      1.256      1.197      1.140
   18.00      1.886      1.796      1.709      1.626      1.547      1.472      1.400      1.331      1.266      1.204
   19.00      2.018      1.916      1.819      1.726      1.638      1.555      1.475      1.400      1.329      1.261
   20.00      2.142      2.028      1.919      1.817      1.721      1.630      1.543      1.462      1.385      1.312
   21.00      2.256      2.130      2.011      1.900      1.795      1.697      1.604      1.517      1.435      1.357
   22.00      2.360      2.222      2.094      1.974      1.862      1.756      1.658      1.565      1.478      1.397
   23.00      2.452      2.305      2.167      2.039      1.920      1.808      1.704      1.607      1.516      1.430
