 SPIRAL: LC3f1921 - inner=1123, iron=8423, outer=1921 - rep 3                 DATE: 09/12/2006     TIME: 15:19:24.0

 INPUT SUMMARY:
 1        0    1    2
  37181  1 91  3  1
        .00      1.00       .00      2.00      1.00  .01  .01
   1123.0  5615.0  1921.0 11526.0  8423.0      .0      .0      .0      .0


 SUMMARY OF TOTAL MAGNETIC INDUCTION   (R IN CYCLOTRON UNITS, B IN GAUSS)

     R       .0 DEG    2.0 DEG    4.0 DEG    6.0 DEG    8.0 DEG   10.0 DEG   12.0 DEG   14.0 DEG   16.0 DEG   18.0 DEG
     R     40.0 DEG   42.0 DEG   44.0 DEG   46.0 DEG   48.0 DEG   50.0 DEG   52.0 DEG   54.0 DEG   56.0 DEG   58.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.416      -.418      -.420      -.422      -.425      -.427      -.430      -.433      -.435      -.438
    2.00      -.350      -.354      -.358      -.363      -.367      -.371      -.376      -.380      -.385      -.390
    3.00      -.292      -.298      -.303      -.309      -.314      -.320      -.326      -.332      -.338      -.344
    4.00      -.240      -.247      -.253      -.260      -.267      -.273      -.280      -.287      -.294      -.302
    5.00      -.194      -.201      -.209      -.216      -.223      -.231      -.238      -.246      -.254      -.262
    6.00      -.153      -.161      -.169      -.176      -.184      -.192      -.200      -.208      -.216      -.225
    7.00      -.116      -.124      -.133      -.141      -.149      -.157      -.166      -.174      -.182      -.190
    8.00      -.083      -.092      -.100      -.109      -.117      -.126      -.134      -.142      -.151      -.159
    9.00      -.054      -.063      -.072      -.080      -.089      -.097      -.105      -.114      -.122      -.130
   10.00      -.028      -.037      -.046      -.055      -.063      -.071      -.080      -.088      -.096      -.103
   11.00      -.005      -.014      -.023      -.032      -.040      -.048      -.056      -.064      -.072      -.079
   12.00       .015       .006      -.003      -.011      -.019      -.027      -.035      -.043      -.050      -.057
   13.00       .033       .024       .016       .007      -.001      -.009      -.016      -.023      -.030      -.037
   14.00       .050       .041       .032       .024       .016       .008       .001      -.006      -.013      -.019
   15.00       .064       .055       .046       .038       .031       .023       .016       .010       .003      -.003
   16.00       .076       .068       .059       .051       .044       .037       .030       .024       .018       .012
   17.00       .088       .079       .071       .063       .055       .049       .042       .036       .030       .025
   18.00       .097       .089       .081       .073       .066       .059       .053       .047       .042       .037
   19.00       .106       .098       .090       .082       .075       .069       .063       .057       .052       .048
   20.00       .114       .105       .097       .090       .083       .077       .071       .066       .061       .057
   21.00       .120       .112       .104       .097       .091       .084       .079       .074       .070       .066
   22.00       .126       .118       .110       .103       .097       .091       .086       .081       .077       .073
   23.00       .131       .123       .116       .109       .102       .097       .092       .087       .083       .080
   24.00       .135       .127       .120       .113       .107       .102       .097       .092       .089       .086
   25.00       .139       .131       .124       .117       .111       .106       .101       .097       .094       .091
   26.00       .142       .134       .127       .121       .115       .110       .105       .101       .098       .095
   27.00       .145       .137       .130       .124       .118       .113       .109       .105       .101       .099
   28.00       .147       .139       .133       .126       .121       .116       .111       .108       .105       .102
   29.00       .149       .141       .135       .128       .123       .118       .114       .110       .107       .105
   30.00       .150       .143       .136       .130       .125       .120       .116       .112       .110       .107
   31.00       .151       .144       .137       .132       .126       .122       .118       .114       .111       .109
   32.00       .152       .145       .138       .133       .127       .123       .119       .116       .113       .111
   33.00       .152       .145       .139       .133       .128       .124       .120       .117       .114       .112
   34.00       .153       .146       .140       .134       .129       .125       .121       .118       .115       .113
   35.00       .153       .146       .140       .134       .129       .125       .121       .118       .116       .114
   36.00       .153       .146       .140       .134       .130       .125       .122       .119       .116       .114

     R     60.0 DEG   62.0 DEG   64.0 DEG   66.0 DEG   68.0 DEG   70.0 DEG   72.0 DEG   74.0 DEG   76.0 DEG   78.0 DEG
     .00      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489      -.489
    1.00      -.441      -.444      -.446      -.449      -.452      -.455      -.458      -.462      -.465      -.468
    2.00      -.395      -.400      -.405      -.410      -.415      -.420      -.426      -.431      -.437      -.442
    3.00      -.351      -.357      -.364      -.370      -.377      -.384      -.391      -.398      -.405      -.413
    4.00      -.309      -.316      -.324      -.332      -.339      -.347      -.355      -.364      -.372      -.381
    5.00      -.270      -.278      -.286      -.294      -.303      -.311      -.320      -.329      -.338      -.347
    6.00      -.233      -.241      -.250      -.258      -.267      -.276      -.285      -.294      -.303      -.312
    7.00      -.199      -.207      -.216      -.224      -.233      -.242      -.250      -.259      -.269      -.278
    8.00      -.167      -.175      -.184      -.192      -.200      -.209      -.217      -.226      -.235      -.244
    9.00      -.138      -.146      -.154      -.162      -.170      -.178      -.186      -.194      -.202      -.211
   10.00      -.111      -.119      -.126      -.134      -.141      -.149      -.156      -.164      -.171      -.179
   11.00      -.086      -.094      -.101      -.108      -.115      -.121      -.128      -.135      -.142      -.148
   12.00      -.064      -.071      -.077      -.084      -.090      -.096      -.102      -.108      -.114      -.119
   13.00      -.044      -.050      -.056      -.062      -.067      -.073      -.078      -.083      -.087      -.092
   14.00      -.025      -.031      -.036      -.041      -.046      -.051      -.055      -.059      -.063      -.067
   15.00      -.008      -.014      -.018      -.023      -.027      -.031      -.035      -.038      -.041      -.043
   16.00       .007       .002      -.002      -.006      -.010      -.013      -.016      -.018      -.020      -.021
   17.00       .021       .016       .012       .009       .006       .004       .002       .000      -.001      -.001
   18.00       .033       .029       .026       .023       .020       .019       .017       .017       .016       .017
   19.00       .044       .040       .038       .035       .033       .032       .032       .032       .032       .033
   20.00       .054       .051       .048       .046       .045       .044       .044       .045       .046       .048
   21.00       .062       .060       .058       .056       .055       .055       .056       .057       .059       .062
   22.00       .070       .068       .066       .065       .065       .065       .066       .068       .070       .074
   23.00       .077       .075       .074       .073       .073       .074       .075       .077       .080       .085
   24.00       .083       .081       .080       .080       .080       .081       .083       .086       .089       .094
   25.00       .088       .087       .086       .086       .086       .088       .090       .093       .097       .102
   26.00       .093       .092       .091       .091       .092       .094       .096       .100       .104       .110
   27.00       .097       .096       .095       .096       .097       .099       .102       .105       .110       .116
   28.00       .101       .100       .099       .100       .101       .103       .106       .110       .115       .121
   29.00       .103       .103       .102       .103       .105       .107       .110       .114       .119       .126
