 -----------------------------------------------------------------------------------------------------------------
 : JBACCEL : v.052107              PARAMETER SET: D45wlc0  -  User Guide Example                 DATE:04/26/2019 :
 : ORIC ACCELERATION PROGRAM                                                                     TIME:10:02:01.0 :
 -----------------------------------------------------------------------------------------------------------------

   2H   1+    ENERGY=  45.00    MASS=   1875.58    INJECTION ENERGY=    .000                              04/26/19
                                                                                                          10:01:39
 EXTRACTION RADIUS= 31.140   FREQUENCY=13.04000 MHZ   DEE VOLTAGE= 60.0 KV   PHI0= 30.00 DEG   HARMONIC=1

 ORBIT   RADIUS      BETA-R    ENERGY     PHASE    PERIOD    R-CEN   THET-CEN    AVRAD    DAVRAD    DRAD   RAD/rtE
  239    23.479  -.1431E-01    26.525    -2.987    .99959     .080    155.20    23.910     .0533    .055    4.5588
  240    23.534  -.1437E-01    26.645    -3.126    .99962     .082    155.33    23.964     .0533    .055    4.5592
  241    23.590  -.1443E-01    26.764    -3.257    .99964     .085    155.27    24.017     .0533    .056    4.5599
  242    23.647  -.1449E-01    26.884    -3.380    .99967     .087    154.91    24.070     .0530    .056    4.5606
  243    23.704  -.1457E-01    27.004    -3.494    .99970     .089    154.40    24.123     .0530    .057    4.5614
  244    23.761  -.1465E-01    27.124    -3.600    .99973     .090    153.88    24.176     .0529    .057    4.5623
  245    23.818  -.1473E-01    27.244    -3.696    .99976     .092    153.31    24.229     .0528    .057    4.5632
  246    23.875  -.1481E-01    27.363    -3.784    .99979     .093    152.65    24.281     .0527    .057    4.5641
  247    23.932  -.1490E-01    27.483    -3.862    .99982     .093    151.97    24.334     .0526    .057    4.5650
  248    23.988  -.1500E-01    27.603    -3.930    .99986     .094    151.42    24.386     .0525    .056    4.5658
  249    24.044  -.1510E-01    27.722    -3.988    .99989     .094    150.94    24.439     .0523    .056    4.5666
  250    24.099  -.1519E-01    27.842    -4.036    .99992     .094    150.59    24.491     .0523    .055    4.5672
  251    24.154  -.1529E-01    27.962    -4.072    .99995     .093    150.34    24.543     .0521    .055    4.5678
  252    24.208  -.1539E-01    28.082    -4.097    .99998     .093    150.28    24.595     .0520    .054    4.5682
  253    24.261  -.1548E-01    28.201    -4.111   1.00001     .092    150.34    24.647     .0519    .053    4.5685
  254    24.314  -.1557E-01    28.321    -4.114   1.00005     .091    150.53    24.699     .0519    .053    4.5688
  255    24.366  -.1567E-01    28.441    -4.105   1.00008     .090    150.89    24.751     .0518    .052    4.5690
  256    24.418  -.1576E-01    28.560    -4.083   1.00012     .089    151.32    24.802     .0516    .052    4.5691
  257    24.470  -.1584E-01    28.680    -4.048   1.00015     .089    151.82    24.854     .0515    .052    4.5692
  258    24.521  -.1593E-01    28.800    -4.001   1.00019     .088    152.31    24.905     .0515    .051    4.5692
  259    24.572  -.1602E-01    28.919    -3.942   1.00022     .087    152.91    24.956     .0512    .052    4.5693
  260    24.623  -.1610E-01    29.039    -3.871   1.00025     .086    153.58    25.008     .0512    .051    4.5693
  261    24.674  -.1619E-01    29.159    -3.788   1.00028     .086    154.23    25.059     .0511    .051    4.5694
  262    24.725  -.1627E-01    29.279    -3.691   1.00032     .085    154.79    25.110     .0510    .051    4.5694
  263    24.776  -.1635E-01    29.398    -3.584   1.00035     .085    155.33    25.161     .0508    .051    4.5695
  264    24.827  -.1644E-01    29.518    -3.465   1.00038     .084    155.86    25.211     .0508    .051    4.5697
  265    24.878  -.1652E-01    29.638    -3.335   1.00041     .083    156.34    25.262     .0507    .051    4.5698
  266    24.929  -.1661E-01    29.758    -3.194   1.00044     .083    156.89    25.312     .0504    .051    4.5700
  267    24.980  -.1670E-01    29.878    -3.043   1.00047     .082    157.48    25.363     .0504    .051    4.5701
  268    25.031  -.1678E-01    29.998    -2.882   1.00050     .082    158.04    25.413     .0504    .051    4.5702
  269    25.082  -.1687E-01    30.117    -2.709   1.00053     .081    158.61    25.463     .0502    .051    4.5703
  270    25.132  -.1695E-01    30.237    -2.527   1.00056     .081    159.14    25.513     .0500    .051    4.5705
  271    25.183  -.1704E-01    30.357    -2.335   1.00058     .080    159.67    25.563     .0500    .051    4.5706
  272    25.234  -.1712E-01    30.477    -2.134   1.00061     .080    160.09    25.613     .0499    .051    4.5708
  273    25.285  -.1721E-01    30.597    -1.924   1.00064     .079    160.49    25.663     .0497    .051    4.5711
  274    25.336  -.1729E-01    30.717    -1.707   1.00066     .079    160.94    25.713     .0497    .051    4.5713
  275    25.386  -.1738E-01    30.837    -1.483   1.00069     .078    161.23    25.762     .0495    .051    4.5716
  276    25.437  -.1747E-01    30.957    -1.254   1.00071     .077    161.46    25.812     .0494    .051    4.5719
  277    25.489  -.1756E-01    31.077    -1.023   1.00073     .077    161.59    25.861     .0493    .051    4.5722
  278    25.540  -.1765E-01    31.197     -.797   1.00075     .076    161.64    25.910     .0490    .051    4.5726
  279    25.591  -.1774E-01    31.317     -.593   1.00077     .075    161.62    25.959     .0492    .051    4.5730
  280    25.643  -.1784E-01    31.437     -.455   1.00079     .074    161.37    26.008     .0488    .051    4.5734
  281    25.694  -.1794E-01    31.557      .458   1.00081     .073    161.08    26.057     .0488    .052    4.5740
  282    25.746  -.1804E-01    31.677      .607   1.00082     .071    160.85    26.105     .0485    .051    4.5744
  283    25.797  -.1815E-01    31.797      .832   1.00083     .069    160.70    26.154     .0484    .051    4.5748
  284    25.847  -.1825E-01    31.917     1.088   1.00083     .067    160.62    26.202     .0482    .051    4.5752
  285    25.897  -.1836E-01    32.037     1.358   1.00084     .065    160.89    26.250     .0480    .050    4.5754
  286    25.946  -.1846E-01    32.157     1.637   1.00084     .063    161.42    26.298     .0479    .049    4.5755
  287    25.995  -.1857E-01    32.277     1.920   1.00084     .061    162.27    26.345     .0477    .048    4.5755
  288    26.042  -.1866E-01    32.397     2.206   1.00083     .059    163.48    26.393     .0475    .047    4.5754
  289    26.089  -.1875E-01    32.516     2.492   1.00083     .057    164.99    26.440     .0474    .047    4.5752
  290    26.135  -.1884E-01    32.636     2.779   1.00082     .055    166.78    26.487     .0471    .047    4.5749
  291    26.182  -.1892E-01    32.756     3.064   1.00081     .054    168.88    26.535     .0471    .046    4.5746
  292    26.227  -.1899E-01    32.876     3.349   1.00079     .054    170.90    26.581     .0468    .046    4.5742
  293    26.274  -.1906E-01    32.996     3.630   1.00078     .054    172.86    26.628     .0468    .046    4.5739
  294    26.320  -.1912E-01    33.115     3.909   1.00077     .055    174.49    26.675     .0467    .046    4.5737
  295    26.367  -.1918E-01    33.235     4.186   1.00075     .055    175.62    26.721     .0464    .047    4.5736
  296    26.415  -.1924E-01    33.355     4.458   1.00074     .056    176.41    26.768     .0464    .048    4.5737
  297    26.463  -.1930E-01    33.474     4.725   1.00072     .057    176.59    26.814     .0463    .048    4.5738
  298    26.513  -.1936E-01    33.594     4.988   1.00071     .058    176.20    26.860     .0462    .050    4.5743
  299    26.563  -.1943E-01    33.713     5.245   1.00070     .059    175.49    26.906     .0461    .051    4.5749
  300    26.614  -.1950E-01    33.833     5.497   1.00068     .059    174.50    26.952     .0458    .051    4.5756
  301    26.666  -.1958E-01    33.952     5.741   1.00066     .059    173.30    26.998     .0458    .052    4.5764
  302    26.718  -.1967E-01    34.072     5.977   1.00064     .059    172.01    27.043     .0456    .052    4.5773
  303    26.770  -.1976E-01    34.191     6.205   1.00062     .057    170.74    27.089     .0455    .052    4.5781
  304    26.821  -.1985E-01    34.310     6.424   1.00059     .056    169.59    27.134     .0452    .051    4.5789
  305    26.871  -.1995E-01    34.429     6.631   1.00057     .054    168.96    27.179     .0452    .050    4.5796
  306    26.920  -.2006E-01    34.548     6.829   1.00054     .051    169.02    27.224     .0449    .049    4.5800
  307    26.968  -.2015E-01    34.668     7.014   1.00050     .049    169.74    27.269     .0446    .047    4.5801
  308    27.013  -.2024E-01    34.787     7.188   1.00047     .046    171.29    27.313     .0446    .046    4.5801
  309    27.058  -.2033E-01    34.906     7.350   1.00042     .044    173.73    27.358     .0443    .045    4.5798
  310    27.101  -.2040E-01    35.025     7.498   1.00038     .043    176.90    27.402     .0441    .043    4.5793
  311    27.144  -.2046E-01    35.144     7.634   1.00033     .043    180.56    27.446     .0439    .042    4.5787
  312    27.185  -.2052E-01    35.262     7.754   1.00029     .043    184.11    27.490     .0439    .042    4.5781
  313    27.227  -.2056E-01    35.381     7.863   1.00024     .045    186.91    27.533     .0438    .042    4.5774
  314    27.271  -.2059E-01    35.500     7.957   1.00020     .047    188.63    27.577     .0437    .043    4.5770
  315    27.315  -.2062E-01    35.619     8.039   1.00015     .049    189.15    27.621     .0436    .044    4.5768
  316    27.361  -.2065E-01    35.738     8.106   1.00012     .052    188.83    27.664     .0437    .046    4.5769
  317    27.409  -.2068E-01    35.857     8.159   1.00008     .053    187.69    27.708     .0436    .048    4.5773
  318    27.458  -.2072E-01    35.975     8.198   1.00005     .055    186.23    27.752     .0436    .049    4.5780
  319    27.509  -.2077E-01    36.094     8.223   1.00002     .055    184.44    27.795     .0437    .050    4.5788
  320    27.560  -.2083E-01    36.213     8.233    .99998     .055    182.47    27.839     .0435    .051    4.5798
  321    27.611  -.2090E-01    36.332     8.229    .99995     .055    180.75    27.882     .0434    .052    4.5809
  322    27.662  -.2097E-01    36.450     8.210    .99991     .053    179.49    27.925     .0433    .051    4.5818
  323    27.712  -.2105E-01    36.569     8.175    .99987     .052    178.90    27.969     .0432    .050    4.5825
  324    27.759  -.2113E-01    36.688     8.126    .99983     .050    179.27    28.012     .0430    .048    4.5830
  325    27.805  -.2121E-01    36.807     8.061    .99979     .048    180.54    28.054     .0428    .046    4.5832
  326    27.850  -.2128E-01    36.926     7.980    .99974     .046    182.85    28.097     .0427    .044    4.5830
  327    27.892  -.2134E-01    37.044     7.884    .99969     .045    185.86    28.140     .0425    .043    4.5827
  328    27.934  -.2139E-01    37.163     7.773    .99964     .045    189.23    28.182     .0424    .041    4.5821
  329    27.974  -.2142E-01    37.282     7.645    .99959     .046    192.35    28.225     .0424    .041    4.5815
  330    28.015  -.2145E-01    37.401     7.503    .99954     .048    194.93    28.267     .0424    .041    4.5809
  331    28.057  -.2147E-01    37.520     7.346    .99949     .050    196.60    28.309     .0424    .041    4.5804
  332    28.099  -.2148E-01    37.639     7.175    .99945     .053    197.18    28.352     .0423    .042    4.5801
  333    28.144  -.2149E-01    37.758     6.989    .99941     .056    196.90    28.394     .0426    .044    4.5801
  334    28.190  -.2150E-01    37.878     6.790    .99937     .058    195.94    28.437     .0425    .046    4.5803
  335    28.237  -.2151E-01    37.997     6.578    .99934     .060    194.69    28.479     .0425    .048    4.5809
  336    28.286  -.2153E-01    38.116     6.351    .99931     .061    193.23    28.522     .0425    .048    4.5816
  337    28.335  -.2156E-01    38.235     6.111    .99928     .062    191.86    28.564     .0425    .050    4.5824
  338    28.385  -.2159E-01    38.355     5.858    .99925     .062    190.75    28.607     .0424    .049    4.5833
  339    28.434  -.2163E-01    38.474     5.592    .99922     .062    190.04    28.649     .0424    .049    4.5840
  340    28.482  -.2167E-01    38.594     5.313    .99919     .062    189.88    28.691     .0424    .048    4.5847
  341    28.529  -.2172E-01    38.713     5.023    .99916     .061    190.31    28.734     .0423    .047    4.5851
  342    28.574  -.2176E-01    38.833     4.721    .99912     .061    191.39    28.776     .0421    .046    4.5854
  343    28.618  -.2180E-01    38.952     4.407    .99909     .061    192.99    28.818     .0422    .044    4.5853
  344    28.661  -.2183E-01    39.072     4.083    .99906     .061    194.92    28.860     .0421    .043    4.5852
  345    28.702  -.2185E-01    39.192     3.750    .99903     .062    197.01    28.902     .0420    .041    4.5848
  346    28.743  -.2186E-01    39.312     3.407    .99900     .064    198.88    28.944     .0421    .041    4.5843
  347    28.784  -.2187E-01    39.432     3.057    .99898     .067    200.68    28.986     .0421    .041    4.5838
  348    28.824  -.2186E-01    39.551     2.699    .99896     .070    202.09    29.028     .0422    .040    4.5833
  349    28.865  -.2185E-01    39.671     2.337    .99893     .074    202.98    29.070     .0421    .041    4.5828
  350    28.906  -.2183E-01    39.791     1.970    .99891     .078    203.47    29.112     .0421    .041    4.5824
  351    28.948  -.2181E-01    39.911     1.598    .99890     .082    203.63    29.155     .0423    .042    4.5821
  352    28.990  -.2178E-01    40.031     1.226    .99890     .086    203.46    29.197     .0422    .042    4.5819
  353    29.034  -.2175E-01    40.151      .856    .99889     .091    203.06    29.239     .0423    .044    4.5820
  354    29.078  -.2172E-01    40.271      .503    .99889     .095    202.59    29.282     .0423    .044    4.5821
  355    29.122  -.2169E-01    40.391      .256    .99889     .099    202.06    29.324     .0423    .045    4.5823
  356    29.167  -.2165E-01    40.511     -.416    .99890     .103    201.60    29.366     .0424    .045    4.5826
  357    29.212  -.2162E-01    40.631     -.758    .99891     .107    201.36    29.409     .0425    .045    4.5829
  358    29.256  -.2159E-01    40.751    -1.123    .99892     .111    201.30    29.451     .0424    .044    4.5830
  359    29.300  -.2156E-01    40.871    -1.492    .99893     .116    201.53    29.494     .0425    .043    4.5831
  360    29.341  -.2153E-01    40.991    -1.858    .99895     .120    202.06    29.536     .0425    .042    4.5829
  361    29.381  -.2149E-01    41.111    -2.219    .99897     .126    202.88    29.579     .0425    .040    4.5824
  362    29.419  -.2145E-01    41.231    -2.573    .99900     .132    203.89    29.621     .0426    .038    4.5816
  363    29.455  -.2140E-01    41.351    -2.917    .99902     .139    205.08    29.664     .0425    .036    4.5806
  364    29.489  -.2134E-01    41.470    -3.250    .99906     .147    206.43    29.707     .0428    .034    4.5792
  365    29.520  -.2127E-01    41.590    -3.569    .99910     .156    207.96    29.749     .0427    .031    4.5774
  366    29.547  -.2119E-01    41.710    -3.871    .99915     .167    209.64    29.792     .0429    .028    4.5751
  367    29.572  -.2110E-01    41.830    -4.154    .99920     .180    211.43    29.835     .0430    .024    4.5723
  368    29.591  -.2099E-01    41.949    -4.414    .99926     .195    213.31    29.878     .0431    .020    4.5688
  369    29.607  -.2086E-01    42.069    -4.648    .99934     .212    215.25    29.922     .0434    .015    4.5647
  370    29.616  -.2072E-01    42.188    -4.851    .99943     .233    217.27    29.965     .0437    .009    4.5596
  371    29.619  -.2056E-01    42.308    -5.020    .99954     .257    219.38    30.010     .0441    .003    4.5536
  372    29.613  -.2039E-01    42.427    -5.146    .99967     .285    221.66    30.054     .0447   -.006    4.5462
  373    29.596  -.2019E-01    42.547    -5.221    .99984     .318    224.09    30.100     .0457   -.017    4.5373
  374    29.566  -.1997E-01    42.666    -5.235   1.00005     .357    226.70    30.147     .0467   -.029    4.5264
  375    29.521  -.1974E-01    42.786    -5.173   1.00032     .404    229.53    30.195     .0483   -.045    4.5131
  376    29.456  -.1950E-01    42.906    -5.016   1.00069     .459    232.69    30.246     .0508   -.065    4.4969
  377    29.366  -.1926E-01    43.025    -4.738   1.00121     .526    236.32    30.301     .0550   -.089    4.4770
  378    29.245  -.1905E-01    43.145    -4.295   1.00198     .606    240.67    30.362     .0616   -.121    4.4524
  379    29.084  -.1895E-01    43.265    -3.624   1.00303     .698    245.88    30.432     .0693   -.161    4.4217
  380    28.890  -.1907E-01    43.384    -2.660   1.00429     .790    252.02    30.506     .0746   -.194    4.3862
  381    28.702  -.1963E-01    43.504    -1.383   1.00536     .858    259.13    30.575     .0689   -.188    4.3516
  382    28.596  -.2077E-01    43.624      .537   1.00570     .871    267.42    30.624     .0487   -.106    4.3295
  383    28.650  -.2245E-01    43.744     1.965   1.00574     .839    277.72    30.667     .0427    .054    4.3317
  384    28.849  -.2456E-01    43.864     3.537   1.00586     .796    291.32    30.713     .0465    .199    4.3558
  385    29.159  -.2697E-01    43.984     5.111   1.00639     .786    308.64    30.771     .0580    .310    4.3967
  386    29.562  -.2961E-01    44.103     6.801   1.00738     .847    327.68    30.839     .0684    .403    4.4514
  387    30.070  -.3226E-01    44.221     8.752   1.00864     .979    345.00    30.912     .0726    .508    4.5218
  388    30.699  -.3438E-01    44.339    11.087   1.00900    1.116    359.58    30.955     .0429    .630    4.6104
  389    31.423  -.3490E-01    44.456    13.686   1.00726    1.155     13.38    30.938    -.0175    .724    4.7129
  390    32.101  -.3304E-01    44.571    16.189   1.00445    1.052     29.85    30.895    -.0427    .677    4.8082
  391    32.616  -.2925E-01    44.685    18.436   1.00279     .907     52.81    30.890    -.0052    .516    4.8792
  392    32.998  -.2461E-01    44.797    20.625   1.00297     .861     82.25    30.935     .0448    .382    4.9302
  393    33.240  -.1997E-01    44.907    23.114   1.00464     .900    111.23    31.025     .0900    .242    4.9602
 -----------------------------------------------------------------------------------------------------------------
