1,0,30.4,30.4
2,-1,30.0292060188211,28.94664
3,-2,29.8503754830615,30.36403
4,-3,29.6373749074465,31.60579
5,-4,29.390916526479,33.0057
6,-5,29.1117460901753,34.62341
7,-6,28.8006994118901,36.54923
8,-7,28.4587427843119,38.84497
9,-8,28.0869450758633,41.46552
10,-9,27.6863524572133,44.18016
11,-10,27.2578292565309,46.72624
12,-11,26.8019922818852,49.04439
13,-12,26.3192115942736,51.05169
14,-13,25.8096035286646,52.68861
15,-14,25.2730423011232,53.98302
16,-15,24.7091739027828,54.93066
17,-16,24.1174126553614,55.53764
18,-17,23.4969182840813,55.76685
19,-18,22.8465457124348,55.57485
20,-19,22.1647922652112,54.98838
21,-20,21.4496613671252,53.78481
22,-21,20.6984845747448,52.04532
23,-22,19.9076284379091,49.52938
24,-23,19.0720168875426,46.31177
25,-24,18.1843139581464,42.24184
26,-25,17.2335296678435,37.56503
27,-26,16.2031197138404,32.88694
28,-27.0574477211378,15,29.08134
29,-27.8489148205355,14,26.58558
30,-28.5650599878197,13,25.57467
31,-29.2112005113556,12,25.04296
32,-29.7924502524141,11,24.7534
33,-30.3133287838845,10,24.57538
34,-30.777702062932,9,24.47498
35,-31.1888309789392,8,24.40561
36,-31.5494312799727,7,24.35697
37,-31.8617738687778,6,24.34097
38,-32.1277518450736,5,24.33751
39,-32.3489129411467,4,24.33859
40,-32.526500985539,3,24.34571
41,-32.6614947296976,2,24.36041
42,-32.7546342887367,1,24.38075
43,-32.8064386609745,0,24.40642
44,-32.8172225749479,-1,24.44191
45,-32.7871084958727,-2,24.48758
46,-32.7160278092511,-3,24.54067
47,-32.6037178659487,-4,24.60197
48,-32.4497165642969,-5,24.67128
49,-32.2533516265213,-6,24.74894
50,-32.0137248893409,-7,24.8354
51,-31.7296917466826,-8,24.93273
52,-31.3998336708206,-9,25.04206
53,-31.0224552420356,-10,25.20021
54,-30.5955441197748,-11,25.37622
55,-30.1166805076472,-12,25.57007
56,-29.5830168733249,-13,25.838
57,-28.9912139289286,-14,26.14998
58,-28.3373168692434,-15,26.53037
59,-27.6166850199878,-16,27.02202
60,-26.8238810929722,-17,27.63744
61,-25.9524603673708,-18,28.37836
62,-24.9949479714175,-19,29.42855
63,-23.9428835142948,-20,30.82984
64,-23,-20.8227960070388,32.93625
65,-22,-21.6321766810352,35.6247
66,-21,-22.3867060855034,39.18902
67,-20,-23.0948519780548,43.03299
68,-19,-23.7630024320739,46.59772
69,-18,-24.3958484634487,49.71487
70,-17,-24.9968359413692,52.20775
71,-16,-25.5685081938274,54.12206
72,-15,-26.1127693596715,55.47536
73,-14,-26.6310754100399,56.43129
74,-13,-27.1245361797893,56.8805
75,-12,-27.5939840544039,56.99467
76,-11,-28.0400346131391,56.72125
77,-10,-28.4630977699785,56.06652
78,-9,-28.8633820234285,54.98945
79,-8,-29.2408820467274,53.4635
80,-7,-29.5953578596524,51.46655
81,-6,-29.9262922181935,48.95172
82,-5,-30.2328343768858,45.94411
83,-4,-30.5137424727668,42.52055
84,-3,-30.7673236209863,38.81474
85,-2,-30.991426999301,35.10777
86,-1,-31.1835892083383,31.78885
87,0,-31.3413588383837,29.17479
88,1,-31.4626686887011,27.36145
89,2,-31.5460722327482,26.27032
90,3,-31.5906668957995,25.60814
91,4,-31.5958340106853,25.18789
92,5,-31.5610499747178,24.91129
93,6,-31.4857713108717,24.72358
94,7,-31.3693593618452,24.59127
95,8,-31.2110232949899,24.49159
96,9,-31.0097735337407,24.41241
97,10,-30.7644016057419,24.36956
98,11,-30.4734396761264,24.33662
99,12,-30.135086023448,24.30562
100,13,-29.7471604365003,24.29821
101,14,-29.3070273089879,24.2916
102,15,-28.8114801341635,24.29578
103,16,-28.2566122012486,24.30997
104,17,-27.6376206861539,24.33146
105,18,-26.9485358601569,24.36355
106,19,-26.1818494118556,24.41647
107,20,-25.3279197732743,24.47331
108,21,-24.3740672663747,24.55513
109,22,-23.3031579200662,24.67231
110,22.2623710364946,-23,24.83517
111,23.0702081287642,-22,24.88935
112,23.7978344491817,-21,25.09188
113,24.4541187959186,-20,25.34272
114,25.0461374530101,-19,25.6568
115,25.5797124168817,-18,26.07541
116,26.0597311066611,-17,26.5712
117,26.4903409589332,-16,27.15595
118,26.8752047048886,-15,27.94263
119,27.2175682398828,-14,28.78637
120,27.5203384442954,-13,29.85524
121,27.7861588844933,-12,31.00918
122,28.0174691993197,-11,32.45232
123,28.216606678633,-10,34.14445
124,28.3858250428273,-9,36.213
125,28.5273260835374,-8,38.67143
126,28.6431930526381,-7,41.40606
127,28.7352687606879,-6,44.12679
128,28.8050760683746,-5,46.6543
129,28.8538285987234,-4,48.90191
130,28.8824709914855,-3,50.82164
131,28.8917201500467,-2,52.39666
132,28.882102103059,-1,53.63119
133,28.8539853460572,0,54.55923
134,28.8076054038119,1,55.19121
135,28.7430766502125,2,55.52745
136,28.6603968873651,3,55.56488
137,28.5594472192918,4,55.30177
138,28.4399842807253,5,54.71573
139,28.3016178230968,6,53.75199
140,28.143780066463,7,52.39005
141,27.9656886269211,8,50.60902
142,27.7662805389191,9,48.33923
143,27.5441113149185,10,45.55058
144,27.2972412430221,11,42.3276
145,27.0230974249445,12,38.77291
146,26.7183155316961,13,35.09128
147,26.3786713468566,14,31.6493
148,25.9992899440427,15,28.90588
149,25.5749993740933,16,26.94125
150,25.100688489564,17,25.79555
151,24.5712756360039,18,25.08011
152,23.9813249592322,19,24.6657
153,23.3246565591223,20,24.40417
154,22.5938405640041,21,24.24314
155,21.7795733089013,22,24.13213
